id	locationID	countryCode	establishmentMeans	occurrenceRemarks
8459	BR-TO	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Cerrado","Mata Atlântica"]}
8459	BR-GO	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Cerrado","Mata Atlântica"]}
8459	BR-RJ	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Cerrado","Mata Atlântica"]}
8459	BR-MG	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Cerrado","Mata Atlântica"]}
8460	BR-MG	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8460	BR-SP	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8460	BR-RJ	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8460	BR-ES	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8460	BR-BA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8461	BR-MS	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Caatinga","Cerrado","Mata Atlântica"]}
8461	BR-BA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Caatinga","Cerrado","Mata Atlântica"]}
8461	BR-MG	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Caatinga","Cerrado","Mata Atlântica"]}
8461	BR-RS	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Caatinga","Cerrado","Mata Atlântica"]}
8461	BR-RJ	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Caatinga","Cerrado","Mata Atlântica"]}
8461	BR-SC	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Caatinga","Cerrado","Mata Atlântica"]}
8461	BR-ES	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Caatinga","Cerrado","Mata Atlântica"]}
8461	BR-DF	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Caatinga","Cerrado","Mata Atlântica"]}
8461	BR-SP	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Caatinga","Cerrado","Mata Atlântica"]}
8461	BR-TO	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Caatinga","Cerrado","Mata Atlântica"]}
8461	BR-PR	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Caatinga","Cerrado","Mata Atlântica"]}
8461	BR-GO	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Caatinga","Cerrado","Mata Atlântica"]}
8462	BR-MG	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8463	BR-PR	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica","Pampa"]}
8463	BR-RJ	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica","Pampa"]}
8463	BR-BA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica","Pampa"]}
8463	BR-ES	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica","Pampa"]}
8463	BR-MG	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica","Pampa"]}
8463	BR-SC	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica","Pampa"]}
8463	BR-RS	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica","Pampa"]}
8463	BR-SP	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica","Pampa"]}
8464	BR-RJ	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8464	BR-BA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8464	BR-ES	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8465	BR-RJ	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8465	BR-PR	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8465	BR-MG	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8465	BR-SP	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8465	BR-SC	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8466	BR-ES	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Cerrado","Mata Atlântica","Pampa"]}
8466	BR-DF	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Cerrado","Mata Atlântica","Pampa"]}
8466	BR-SP	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Cerrado","Mata Atlântica","Pampa"]}
8466	BR-RS	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Cerrado","Mata Atlântica","Pampa"]}
8466	BR-BA	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Cerrado","Mata Atlântica","Pampa"]}
8466	BR-MS	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Cerrado","Mata Atlântica","Pampa"]}
8466	BR-MG	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Cerrado","Mata Atlântica","Pampa"]}
8466	BR-RJ	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Cerrado","Mata Atlântica","Pampa"]}
8466	BR-TO	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Cerrado","Mata Atlântica","Pampa"]}
8466	BR-SC	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Cerrado","Mata Atlântica","Pampa"]}
8466	BR-PR	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Cerrado","Mata Atlântica","Pampa"]}
8466	BR-GO	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Cerrado","Mata Atlântica","Pampa"]}
8467	BR-MG	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Cerrado","Mata Atlântica"]}
8468	BR-MG	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8468	BR-RJ	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8468	BR-PR	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8468	BR-SC	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8468	BR-ES	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8468	BR-SP	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8469	BR-SP	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8469	BR-BA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8469	BR-SC	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8469	BR-PR	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8469	BR-ES	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8470	BR-AC	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8470	BR-AL	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8470	BR-ES	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8470	BR-CE	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8470	BR-RO	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8470	BR-AM	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
