id	identifier	bibliographicCitation	title	creator	date	type
108908		Iheringia, Bot.,59(1): 75-96,2004	Iheringia, Bot.	Alves-da-Silva, S.M.  Bridi, F.C.	2004	
108909		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108910		Ann. Sci. Nat., Bot.,11: 236.,1849	Ann. Sci. Nat., Bot.	Berkeley, M.J. & Montagne	1849	
108910		Mycotaxon,72: 43-56.,1999	Mycotaxon	Góes-Neto, A.	1999	
108911		Acta Bot. Brasil.,18(3): 555-572,1993	Acta Bot. Brasil.	Alves-da-Silva, S.M.  Bridi, F.C.	1993	
108912		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108913		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108915		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108916		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108917		Algol. Stud.,119: 29-58,2006	Algol. Stud.	Alves-da-Silva & Bicudo, C.E.	2006	original description
108918		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108920		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108921		Brittonia,49 (1): 87-109.,1997	Brittonia	Carvalho, A.M.V.	1997	original description
108923		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108924		1997		Carvalho, A.M.	1997	
108925		Acta Bot. Brasil.,18(3): 555-572,2004	Acta Bot. Brasil.	Alves-da-Silva, S.M.  Bridi, F.C.	2004	
108926		Acta Bot. Brasil.,18(3): 555-572,2004	Acta Bot. Brasil.	Alves-da-Silva, S.M.  Bridi, F.C.	2004	
108927		Mycotaxon,108: 319-322.,2009	Mycotaxon	Gomes-Silva, A.C. & Gibertoni, T.B.	2009	
108928		Acta Bot. Brasil.,18(3): 555-572,2004	Acta Bot. Brasil.	Alves-da-Silva, S.M.  Bridi, F.C.	2004	
108929		Persoonia,4: 379-389.,1967	Persoonia	Furtado, J.S.	1967	original description
108930		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108931		Levantamento taxonômico e variação temporal das Euglenophyceae de um reservatório raso no município de Triunfo, Estado do Rio Grande do Sul. Tese de Doutorado, Universidade Estadual Paulista,481,1998	Levantamento taxonômico e variação temporal das Euglenophyceae de um reservatório raso no município de Triunfo, Estado do Rio Grande do Sul. Tese de Doutorado, Universidade Estadual Paulista	Alves-da-Silva, S.M.	1998	
108933		Hoehnea,16: 35-55,1989	Hoehnea	Menezes, M. & Fernandes, V.O.	1989	
108934		Hoehnea,16: 35-55,1989	Hoehnea	Menezes, M. & Fernandes, V.O.	1989	
108935		Hoehnea,16: 35-55,1989	Hoehnea	Menezes, M. & Fernandes, V.O.	1989	
108940		Acta Bot. Brasil.,22(1): 145-163,2008	Acta Bot. Brasil.	Alves-da-Silva, S.M.  Tamanaha, M.	2008	
108941		Rickia,14: 53-71,1987	Rickia	Menezes, M. & Fernandes, V.O.	1987	
108942		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108943		Iheringia, Bot.,59(1): 75-96,2004	Iheringia, Bot.	Alves-da-Silva, S.M.  Bridi, F.C.	2004	
108944		Iheringia, Bot.,63(1): 15-36,2008	Iheringia, Bot.	Alves-da-Silva, S.M. et al.	2008	
108945		Rev. Hydrobiol. trop.,27(1): 3-21,1994	Rev. Hydrobiol. trop.	Conforti, V.	1994	
